1,0.00535,0.0006549968,-0.000480543
2,0.0032,0.000436085,0.000313421
3,0.07105,0.0044735165,-0.0002750654
4,0.00445,0.0005532295,0.0002411786
5,0.0055,0.0006558392,-0.0004095754
6,0.0027,0.0005307606,-0.0004237684
7,0.00605,0.0006994032,-0.0003045918
8,0.0076,0.0009225162,-0.0003460344
9,0.00915,0.0010735521,-0.0002871893
10,0.0123,0.0012744307,-0.0004032738
11,0.32235,0.0184815707,0.0001216564
12,0.0204,0.002154684,-0.0003665867
13,0.0258,0.0025389692,-0.0003935025
14,0.1576,0.002729419,-0.0004876645
15,0.0728,0.0059150575,-0.000478391
16,0.0343,0.0033551147,-0.0004392208
17,0.00405,0.0005952036,-0.0003524052
18,0.014,0.001519575,-0.0002923881
19,0.27815,0.0166021578,-0.0001862155
20,0.4203,0.0244051127,-0.0003302014
21,0.0189,0.0024702108,-0.0003378775
22,0.02385,0.0028407746,-0.0004701954
23,0.0328,0.0032041692,-0.0004329847
24,0.43995,0.0251862379,-9.1890696479191E-005
25,0.0401,0.0040018163,-0.0004136742
26,0.1055,0.0082812146,-0.0004866945
27,0,0,0
28,0,0,0
29,0,0,0
30,0.2909,0.0166291803,0.0002185943
31,0.08655,0.0074901867,-0.0004528136
32,0.21145,0.0017489307,-0.0004919656
33,0.043,0.0042629588,-0.0004121886
34,0.0726,0.0067578978,-0.0004849778
35,0.0893,0.0084150365,-0.000499815
36,0.13,0.0097616747,-0.0004819647
37,0.18955,0.017405704,-0.0004784038
38,0.26515,0.0249279057,-0.0004923017
39,0.22495,0.0210325832,-0.0004951341
40,0,0,0
41,0,0,0
42,0.06295,0.0064381291,-0.0004937378
